norm_to_update,current
earth,Earth
Earth Crisis,Earth Crisis
Earthless,Earthless
earthtone9,earthtone9
earthtone9,Earthtone9
earthtone9,Earthtone 9
Echobrain,Echobrain
Einstürzende Neubauten,Einstürzende Neubauten
Elder,Elder
El Doom & The Born Electric,El Doom & The Born Electric
Electric Wizard,Electric Wizard
Elephant9,elephant9
Elephant9,Elephant9
Elliot Goldenthal,Elliot Goldenthal
Emilio Etsefan,Emilio Etsefan
Emperor,Emperor
Employed To Serve,Employed To Serve
Endstand,Endstand
Ensiferum,Ensiferum
Enslaved,Enslaved
Entombed,Entombed
Ephel Duath,Ephel Duath
Esoteric,Esoteric
Evoken,Evoken
Face Down,Face Down
Faith No More,Faith No More
Fallen Icon,Fallen Icon
Falloch,Falloch
Falls of Rauros,Falls of Rauros
Fallujah,Fallujah
False,False
Fantômas,Fantômas
Farsot & ColdWorld,Farsot & ColdWorld
Fates Warning,Fates Warning
Fear Factory,FearFactory
Fear Factory,Fear Factory
Fen,Fen
Fen,FEN
Filter,Filter
Filter & The Crystal Method,Filter & The Crystal Method
Fleshgod Apocalypse,Fleshgod Apocalypse
Foil,Foil
Foo Fighters,Foo Fighters
Freaky Chakra,Freaky Chakra
Frontierer,Frontierer
Fudge Tunnel,Fudge Tunnel
Fugazi,Fugazi
Full of Hell,Full of Hell
Garbage,Garbage
Gasgiant,Gasgiant
Gatecreeper,Gatecreeper
Geezer Butler,Geezer Butler
Genghis Tron,Genghis Tron
Ghastly,Ghastly
Ghost,Ghost
Glassjaw,Glassjaw
Glassjaw,GlassJaw
Gnaw Their Tongues & Dragged into Sunlight,Gnaw Their Tongues & Dragged into Sunlight
Godflesh,Godflesh
God Forbid,God Forbid
God Is An Astronaut,God Is An Astronaut
Godspeed You! Black Emperor,Godspeed You! Black Emperor
Godthrymm,Godthrymm
Gojira,Gojira
Gold Dust Woman,Gold Dust Woman
Goldfrapp,Goldfrapp
Gorguts,Gorguts
Grails,Grails
Grand General,Grand General
Grand Magus,Grand Magus
Grave,Grave
Greenleaf,Greenleaf
Grey Machine,Grey Machine
Grimfist,Grimfist
Guns N' Roses,Guns N' Roses
Guru Guru,Guru Guru
Haar,Haar
Haar & Ur Draugr,Haar & Ur Draugr
Haken,Haken
Hammers of Misfortune,Hammers of Misfortune
Hannibal,Hannibal
Hans Zimmer,Hans Zimmer
Hans Zimmer and James Newton Howard,Hans Zimmer and James Newton Howard
Hans Zimmer and James Newton Howard,Hans Zimmer and James Newton Howrd
Harakiri for the Sky,Harakiri for the Sky
Harakiri for the Sky,Harakiri For The Sky
Hark,Hark
Havok,Havok
Headless Kross,Headless Kross/ Projections I
Heaven And Hell,Heaven And Hell
Helheim,Helheim
Helmet,Helmet
Helms Alee,Helms Alee
Henry Rollins & Goldie,Henry Rollins & Goldie
Herod,Herod
Hexvessel,Hexvessel
High on Fire,High on Fire
High on Fire,High On Fire
High Spirits,High Spirits
Hob Headless Rises,Hob Headless Rises
Hope Drone,Hope Drone
Horrendous,Horrendous
Howard Shore,Howard Shore
Hundred Year Old Man,Hundred Year Old Man
Hush,Hush
Hypno5e,Hypno5e
I'm Your Boogieman,I'm Your Boogieman
Iced Earth,Iced Earth
Ihsahn,Ihsahn
Immortal,Immortal
Imperial Triumphant,Imperial Triumphant
In A Lonely Place,In A Lonely Place
Incubus & D.J. Greyboy,Incubus & D.J. Greyboy
In Decades Decline,In Decades Decline
India.Arie,India.Arie
In Flames,In Flames
Inner Sanctum,Inner Sanctum
Inquisition,Inquisition
Insomnium,Insomnium
Inter Arma,Inter Arma
Internal Punishment Programs,Internal Punishment Programs
Intronaut,Intronaut
Iron Maiden,Iron Maiden
Iron Maiden,IRON MAIDEN
Iron Reagan,Iron Reagan
Isis,Isis
Ivar Bjørnson & Einar Selvik,Ivar Bjørnson & Einar Selvik
I Wanna Be Your Dog,I Wanna Be Your Dog
Jaco Pastorius,Jaco Pastorius
James Horner,James Horner
James LaBrie,James LaBrie
Janis Joplin,Janis Joplin
Jarboe,Jarboe
Jarboe and Justin K Broadrick,Jarboe + Justin K Broadrick
Jeff Loomis,Jeff Loomis
jesu,jesu
jesu,Jesu
Jex Thoth,Jex Thoth
Jimi Hendrix,Jimi Hendrix
Jimi Hendrix Experience,Jimi Hendrix Experience
John Coltrane,John Coltrane
"John McLaughlin, Jaco Pastorius, Tony Williams","John McLaughlin, Jaco Pastorius, Tony Williams"
John Murphy,John Murphy
John Tavener,John Tavener
John Williams,John Williams
Joy Division,Joy Division
Judas Priest,Judas Priest
Juliette Lewis,Juliette Lewis
Juniper Grave,Juniper Grave
Jurassitol,Jurassitol
Jóhann Jóhannsson,Jóhann Jóhannsson
Katatonia,Katatonia
Kate Gibson,Kate Gibson
Kayo Dot,Kayo Dot
KC & The Sunshine Band,KC & The Sunshine Band
Keelhaul,Keelhaul
Keith Caputo,Keith Caputo
Kerbdog,Kerbdog
Khanate,Khanate
Khemmis,Khemmis
Khold,Khold
Khorada,Khorada
Kilgore,Kilgore
Killswitch Engage,Killswitch Engage
King Britt,King Britt
King Britt & Tim Motzer,King Britt & Tim Motzer
King Buffalo,King Buffalo
King Crimson,King Crimson
King Goat,King Goat
King Witch,King Witch
King Witch,KING WITCH
King Woman,King Woman
Klaus Badelt & Mark Batson,Klaus Badelt & Mark Batson
Kneejerk,Kneejerk
Knock Me Out,Knock Me Out
Kolossus,Kolossus
Konkhra,Konkhra
Kontinuum,Kontinuum
Korn,Korn
Korn & The Dust Brothers,Korn & The Dust Brothers
Krallice,Krallice
Kronos Quartet,Kronos Quartet
