#Movie
Taken
The Adjustment Bureau
Attack the Block
Awakening
Black Hawk Down
Burn After Reading
Commando
Eternal Sunshine of the Spotless Mind
The Girl Who Played With Fire
The Illusionist
The Killing Fields
The Kingdom
Kingdom of Heaven
Man on a Ledge
Mad Max 1-3
Public Enemies
Requiem for a Dream
Transformers
Transformers - Revenge of the Fallen
Underworld - Rise of the Lycans
Unknown
War of the Worlds
Waynes World 1 + 2
Where the Wild Things Are
Bad Boys
Battle : Los Angeles
Big Fish
Bowling for Columbine
Clear and Present Danger
Coriolanus
Edward Scissorhands
The Fast and the Furious
2 Fast 2 Furious
Flags of our Fathers
Frost / Nixon
Ghost Rider
Hellboy
The Punisher
Grosse Pointe Blank
Defiance
Hesher
Inside Man
Jaws
Little Miss Sunshine
The Machinist
Mega Shark vs Giant Octopus
Mystic River
Natural Born Killers
Night of the Living Dead
Predators
Primer
Seven Samurai
The Soloist
Stargate
The Station Agent
State of Play
Sweeney Todd
TAXI 2
The Valley of Elah
The Village
007 - Quantam of Solace
Mesrine
Paul
Shooter
Kick-Ass
Killer Joe
36
Patriot Games
Memento
007 - Casino Royale
The Road
Vampire Hunter
Transfomers The Movie
Alice in Wonderland
AVP2
Outlander
The Lives of Others
Gran Torino
Monty Pythons Life of Brian
Watchmen - the curse of the black freighter
Terminator 3
The Knightmare before xmas
Apocalypto
Lions for Lambs
The Girl who kicked the Hornets Nest
Little Fish
Sleepy Hollow
Zodiac
Nacho Libre
Kill Bill 1 + 2
Casshern
Night Watch
Xmen Trilogy
The Book Of Eli
Exorcist the Beginning
A Scanner Darkly
Hellboy 2
The Walking Dead
The X Files - I want to believe
Tinkor Tailor Soldier Spy
Ghostbusters 1 + 2
The Last King of Scotland
Mad Max 1
Win Win
127 Hours
Spaceballs
Black Sheep
The Hurt Locker
Headhunters
Resident Evil
School of Rock
Ali
Terminator Salvation
Jurassic Park 
Fight Club
Hot Fuzz
AVP
Robin Hood
The Girl with the Dragon Tatoo
Corpse Bride
Goodbye Lenin
Good Night and Good Luck
Reign of Fire
Charlie and the Chocolate Factory
The Social Network
Tron
The Guard
Total Recall
Million Dollar Baby
TAXI
Joy Division
Silver City
Shaun of the Dead
The City of Lost Children
Zatoichi
Versus
Delicatessen
Bad Boys
The Hurricane
Hellraiser 2 + 3
Changing Lanes
Red Road
Red Dragon
Training Day
The Matrix
Empire of the Sun
There Will be Blood
Pirates of the Caribbean - Dead Mens Chest
Syriana
Pirates of the Caribbean - The Curse of the Black Pearl
Moneyball
Insomnia
No Country for Old Men
The Animatrix
Matrix Reloaded
Babel
Pirates of the Caribbean - At Worlds End
Inception
Dead Mans Shoes
In My Fathers Den
The Visitor
Control
The Descent
The Descent 2
John Wick 2
United 93
Mortal Engines
Baby Driver
Dark City
Valerian and the City of a Thousand Planets
Schindlers List
Avatar
Manhunter
Abyss
Alien
Aliens
Alien 3
Alien Resurrection
AI
Batman Begins
The Dark Knight
Blade Runner
Brotherhood of the Wolf
Children of Men
The Crow
District 9
Doomsday
Escape from New York
Event Horizon
Independence Day
Indiana Jones 1 - 4
I Robot
Iron Man
Iron Man 2
LOTR 1 - 3
Minority Report
Moon
Predator 1
Predator 2
The Chronicles of Riddick
Robocop 1 - 3
Serentiy
Source Code
Star Wars 1 - 6
Strange Days
Sunshine
Total Recall
Terminator
Terminator 2
Troll Hunter
2001: A Space Odyessy
2010: The Year We make Contact
Underworld
V for vendetta
watchmen
The Big Lebowski
Collateral
Crash
Drive
Hanna
Heli
The Insider
Man on Fire
Miami Vice
Pans Labyrinth
The Prestige
Rango
The Shining
13 Hours
Seven
Traffic
Wanted
Monsters
Saving Private Ryan
25th Hour
Gravity
Mandy
Color Out of Space
